date,state,cases
2020-12-28,WA,0
2020-12-28,WI,1557
2020-12-28,WV,726
2020-12-28,WY,504
2020-12-27,AK,290
2020-12-27,AL,2170
2020-12-27,AR,908
2020-12-27,AS,0
2020-12-27,AZ,1296
2020-12-27,CA,50141
2020-12-27,CO,1399
2020-12-27,CT,0
2020-12-27,DC,492
2020-12-27,DE,584
2020-12-27,FL,7157
2020-12-27,GA,2949
2020-12-27,GU,1
2020-12-27,HI,95
2020-12-27,IA,478
2020-12-27,ID,554
2020-12-27,IL,3767
2020-12-27,IN,1820
2020-12-27,KS,0
2020-12-27,KY,1500
2020-12-27,LA,3223
2020-12-27,MA,3134
2020-12-27,MD,1758
2020-12-27,ME,333
2020-12-27,MI,0
2020-12-27,MN,2516
2020-12-27,MO,1451
2020-12-27,MP,0
2020-12-27,MS,1365
2020-12-27,MT,347
2020-12-27,NC,2898
2020-12-27,ND,111
2020-12-27,NE,175
2020-12-27,NH,876
2020-12-27,NJ,2320
2020-12-27,NM,742
2020-12-27,NV,1856
2020-12-27,NY,7623
2020-12-27,OH,5857
2020-12-27,OK,2631
2020-12-27,OR,1399
2020-12-27,PA,4884
2020-12-27,PR,784
2020-12-27,RI,733
2020-12-27,SC,7287
2020-12-27,SD,427
2020-12-27,TN,3188
2020-12-27,TX,8046
2020-12-27,UT,796
2020-12-27,VA,3999
2020-12-27,VI,0
2020-12-27,VT,63
2020-12-27,WA,3626
2020-12-27,WI,2558
2020-12-27,WV,533
2020-12-27,WY,54
2020-12-26,AK,361
2020-12-26,AL,1032
2020-12-26,AR,702
2020-12-26,AS,0
2020-12-26,AZ,6106
2020-12-26,CA,30375
2020-12-26,CO,1430
2020-12-26,CT,0
2020-12-26,DC,274
2020-12-26,DE,820
2020-12-26,FL,16588
2020-12-26,GA,3679
2020-12-26,GU,1
2020-12-26,HI,119
2020-12-26,IA,310
2020-12-26,ID,0
2020-12-26,IL,3293
2020-12-26,IN,3841
2020-12-26,KS,0
2020-12-26,KY,5283
2020-12-26,LA,0
2020-12-26,MA,7677
2020-12-26,MD,2280
2020-12-26,ME,0
2020-12-26,MI,7877
2020-12-26,MN,2142
2020-12-26,MO,1756
2020-12-26,MP,4
2020-12-26,MS,845
2020-12-26,MT,504
2020-12-26,NC,19419
2020-12-26,ND,407
2020-12-26,NE,805
2020-12-26,NH,1031
2020-12-26,NJ,3999
2020-12-26,NM,604
2020-12-26,NV,1589
2020-12-26,NY,10806
2020-12-26,OH,11018
2020-12-26,OK,3955
2020-12-26,OR,608
2020-12-26,PA,7581
2020-12-26,PR,1019
2020-12-26,RI,226
2020-12-26,SC,3864
2020-12-26,SD,417
2020-12-26,TN,14395
2020-12-26,TX,2694
2020-12-26,UT,3489
2020-12-26,VA,1584
2020-12-26,VI,0
2020-12-26,VT,185
2020-12-26,WA,0
2020-12-26,WI,677
2020-12-26,WV,1341
2020-12-26,WY,482
2020-12-25,AK,0
2020-12-25,AL,3625
2020-12-25,AR,2122
2020-12-25,AS,0
2020-12-25,AZ,6616
2020-12-25,CA,39144
2020-12-25,CO,2659
2020-12-25,CT,0
2020-12-25,DC,0
2020-12-25,DE,638
2020-12-25,FL,0
2020-12-25,GA,5125
2020-12-25,GU,2
2020-12-25,HI,156
2020-12-25,IA,870
2020-12-25,ID,1248
2020-12-25,IL,5742
2020-12-25,IN,5446
2020-12-25,KS,0
2020-12-25,KY,0
2020-12-25,LA,0
2020-12-25,MA,0
2020-12-25,MD,2432
2020-12-25,ME,321
2020-12-25,MI,0
2020-12-25,MN,0
2020-12-25,MO,2076
2020-12-25,MP,0
2020-12-25,MS,1527
2020-12-25,MT,0
2020-12-25,NC,0
2020-12-25,ND,0
2020-12-25,NE,695
2020-12-25,NH,0
2020-12-25,NJ,5060
2020-12-25,NM,1456
2020-12-25,NV,1853
2020-12-25,NY,12446
2020-12-25,OH,0
2020-12-25,OK,0
2020-12-25,OR,897
2020-12-25,PA,7174
2020-12-25,PR,616
2020-12-25,RI,870
2020-12-25,SC,0
2020-12-25,SD,0
2020-12-25,TN,0
2020-12-25,TX,4335
2020-12-25,UT,0
2020-12-25,VA,4078
2020-12-25,VI,12
2020-12-25,VT,0
2020-12-25,WA,2891
2020-12-25,WI,1639
2020-12-25,WV,1597
2020-12-25,WY,0
2020-12-24,AK,268
2020-12-24,AL,4232
2020-12-24,AR,3204
2020-12-24,AS,0
2020-12-24,AZ,7046
2020-12-24,CA,39070
2020-12-24,CO,3030
2020-12-24,CT,2038
2020-12-24,DC,210
2020-12-24,DE,780
2020-12-24,FL,12770
2020-12-24,GA,7899
2020-12-24,GU,9
2020-12-24,HI,128
2020-12-24,IA,1116
2020-12-24,ID,1391
2020-12-24,IL,7037
2020-12-24,IN,6196
2020-12-24,KS,0
2020-12-24,KY,0
2020-12-24,LA,2565
2020-12-24,MA,5937
2020-12-24,MD,2866
2020-12-24,ME,735
2020-12-24,MI,0
2020-12-24,MN,1884
2020-12-24,MO,3231
2020-12-24,MP,2
2020-12-24,MS,2326
2020-12-24,MT,407
2020-12-24,NC,0
2020-12-24,ND,225
2020-12-24,NE,1338
2020-12-24,NH,390
2020-12-24,NJ,4704
2020-12-24,NM,1924
2020-12-24,NV,2249
2020-12-24,NY,12568
2020-12-24,OH,8828
2020-12-24,OK,3277
2020-12-24,OR,851
2020-12-24,PA,9230
2020-12-24,PR,320
2020-12-24,RI,1046
2020-12-24,SC,2798
2020-12-24,SD,506
2020-12-24,TN,5257
2020-12-24,TX,17064
2020-12-24,UT,2892
2020-12-24,VA,4782
2020-12-24,VI,17
2020-12-24,VT,101
2020-12-24,WA,2315
2020-12-24,WI,3263
2020-12-24,WV,1303
2020-12-24,WY,0
2020-12-23,AK,360
2020-12-23,AL,4758
2020-12-23,AR,2893
2020-12-23,AS,0
2020-12-23,AZ,6058
2020-12-23,CA,39069
2020-12-23,CO,2948
2020-12-23,CT,1745
2020-12-23,DC,326
2020-12-23,DE,612
2020-12-23,FL,11100
2020-12-23,GA,5153
2020-12-23,GU,19
2020-12-23,HI,105
2020-12-23,IA,1501
2020-12-23,ID,1717
2020-12-23,IL,6762
2020-12-23,IN,4662
2020-12-23,KS,5089
2020-12-23,KY,2936
2020-12-23,LA,2974
2020-12-23,MA,4814
2020-12-23,MD,2465
2020-12-23,ME,748
2020-12-23,MI,3820
2020-12-23,MN,1508
2020-12-23,MO,3141
2020-12-23,MP,0
2020-12-23,MS,2634
2020-12-23,MT,575
2020-12-23,NC,5609
2020-12-23,ND,270
2020-12-23,NE,1221
2020-12-23,NH,504
2020-12-23,NJ,4802
2020-12-23,NM,1167
2020-12-23,NV,2988
2020-12-23,NY,11937
2020-12-23,OH,7790
2020-12-23,OK,3656
2020-12-23,OR,897
2020-12-23,PA,9605
2020-12-23,PR,576
2020-12-23,RI,879
2020-12-23,SC,4175
2020-12-23,SD,531
2020-12-23,TN,7221
2020-12-23,TX,23363
2020-12-23,UT,2612
2020-12-23,VA,4652
2020-12-23,VI,16
2020-12-23,VT,72
2020-12-23,WA,1252
2020-12-23,WI,3063
2020-12-23,WV,1199
2020-12-23,WY,285
2020-12-22,AK,438
2020-12-22,AL,4979
2020-12-22,AR,1941
2020-12-22,AS,0
2020-12-22,AZ,5870
2020-12-22,CA,32659
2020-12-22,CO,2516
2020-12-22,CT,1583
2020-12-22,DC,160
2020-12-22,DE,567
2020-12-22,FL,10204
2020-12-22,GA,6203
2020-12-22,GU,27
2020-12-22,HI,66
2020-12-22,IA,642
2020-12-22,ID,917
2020-12-22,IL,6239
2020-12-22,IN,3657
2020-12-22,KS,0
2020-12-22,KY,3047
2020-12-22,LA,3699
2020-12-22,MA,3800
2020-12-22,MD,2324
2020-12-22,ME,458
2020-12-22,MI,3514
2020-12-22,MN,1700
2020-12-22,MO,2123
2020-12-22,MP,0
2020-12-22,MS,2191
2020-12-22,MT,623
2020-12-22,NC,5255
2020-12-22,ND,332
2020-12-22,NE,721
2020-12-22,NH,620
2020-12-22,NJ,4573
2020-12-22,NM,1267
2020-12-22,NV,1090
2020-12-22,NY,9716
2020-12-22,OH,7678
2020-12-22,OK,2186
2020-12-22,OR,1318
2020-12-22,PA,7962
2020-12-22,PR,1063
2020-12-22,RI,956
2020-12-22,SC,2322
2020-12-22,SD,435
2020-12-22,TN,4441
2020-12-22,TX,21147
2020-12-22,UT,2302
2020-12-22,VA,3591
2020-12-22,VI,13
2020-12-22,VT,74
2020-12-22,WA,4035
2020-12-22,WI,3027
2020-12-22,WV,1400
2020-12-22,WY,261
2020-12-21,AK,150
2020-12-21,AL,2380
2020-12-21,AR,1457
2020-12-21,AS,0
2020-12-21,AZ,7748
2020-12-21,CA,37892
2020-12-21,CO,2146
2020-12-21,CT,4595
2020-12-21,DC,139
2020-12-21,DE,440
2020-12-21,FL,10907
2020-12-21,GA,3111
2020-12-21,GU,9
2020-12-21,HI,134
2020-12-21,IA,538
2020-12-21,ID,891
2020-12-21,IL,4699
2020-12-21,IN,3865
2020-12-21,KS,4174
2020-12-21,KY,1976
2020-12-21,LA,1116
2020-12-21,MA,3843
2020-12-21,MD,2265
2020-12-21,ME,339
2020-12-21,MI,5059
2020-12-21,MN,1992
2020-12-21,MO,3130
2020-12-21,MP,1
2020-12-21,MS,1167
2020-12-21,MT,154
2020-12-21,NC,4479
2020-12-21,ND,82
2020-12-21,NE,967
2020-12-21,NH,846
2020-12-21,NJ,3171
2020-12-21,NM,815
2020-12-21,NV,1939
2020-12-21,NY,9007
2020-12-21,OH,6548
2020-12-21,OK,2596
2020-12-21,OR,825
2020-12-21,PA,7887
2020-12-21,PR,416
2020-12-21,RI,419
2020-12-21,SC,2327
2020-12-21,SD,347
2020-12-21,TN,9891
2020-12-21,TX,10280
2020-12-21,UT,1819
2020-12-21,VA,4042
2020-12-21,VI,0
2020-12-21,VT,91
2020-12-21,WA,0
2020-12-21,WI,1629
2020-12-21,WV,995
2020-12-21,WY,456
2020-12-20,AK,178
2020-12-20,AL,2548
2020-12-20,AR,1536
2020-12-20,AS,0
2020-12-20,AZ,5366
2020-12-20,CA,46474
2020-12-20,CO,2292
2020-12-20,CT,0
2020-12-20,DC,259
2020-12-20,DE,480
2020-12-20,FL,8140
2020-12-20,GA,5087
2020-12-20,GU,4
2020-12-20,HI,202
2020-12-20,IA,897
2020-12-20,ID,851
2020-12-20,IL,6003
2020-12-20,IN,6483
2020-12-20,KS,0
2020-12-20,KY,1757
2020-12-20,LA,3711
2020-12-20,MA,4261
2020-12-20,MD,2054
2020-12-20,ME,207
2020-12-20,MI,0
2020-12-20,MN,2684
2020-12-20,MO,2072
2020-12-20,MP,0
2020-12-20,MS,2222
2020-12-20,MT,551
2020-12-20,NC,6900
2020-12-20,ND,251
2020-12-20,NE,670
2020-12-20,NH,933
2020-12-20,NJ,5175
2020-12-20,NM,1063
2020-12-20,NV,2087
2020-12-20,NY,9957
2020-12-20,OH,8377
2020-12-20,OK,4970
2020-12-20,OR,1116
2020-12-20,PA,7213
2020-12-20,PR,1222
2020-12-20,RI,1029
2020-12-20,SC,2869
2020-12-20,SD,391
2020-12-20,TN,16036
2020-12-20,TX,7780
2020-12-20,UT,1994
2020-12-20,VA,3876
2020-12-20,VI,11
2020-12-20,VT,100
2020-12-20,WA,2332
2020-12-20,WI,2045
2020-12-20,WV,1127
2020-12-20,WY,174
2020-12-19,AK,330
2020-12-19,AL,4221
2020-12-19,AR,2693
2020-12-19,AS,0
2020-12-19,AZ,5560
2020-12-19,CA,43608
2020-12-19,CO,2491
2020-12-19,CT,0
2020-12-19,DC,238
2020-12-19,DE,1027
2020-12-19,FL,11456
2020-12-19,GA,4236
2020-12-19,GU,5
2020-12-19,HI,156
2020-12-19,IA,1198
2020-12-19,ID,1340
2020-12-19,IL,7562
2020-12-19,IN,4732
2020-12-19,KS,0
2020-12-19,KY,3374
2020-12-19,LA,0
2020-12-19,MA,4344
2020-12-19,MD,2201
2020-12-19,ME,402
2020-12-19,MI,4181
2020-12-19,MN,2746
2020-12-19,MO,2784
2020-12-19,MP,0
2020-12-19,MS,1700
2020-12-19,MT,627
2020-12-19,NC,6164
2020-12-19,ND,231
2020-12-19,NE,1345
2020-12-19,NH,649
2020-12-19,NJ,4191
2020-12-19,NM,1430
2020-12-19,NV,2601
2020-12-19,NY,9919
2020-12-19,OH,8567
2020-12-19,OK,4108
2020-12-19,OR,1506
2020-12-19,PA,9834
2020-12-19,PR,1079
2020-12-19,RI,971
2020-12-19,SC,3461
2020-12-19,SD,564
2020-12-19,TN,0
2020-12-19,TX,17907
2020-12-19,UT,2408
2020-12-19,VA,3584
2020-12-19,VI,10
2020-12-19,VT,100
2020-12-19,WA,3063
2020-12-19,WI,4315
2020-12-19,WV,1464
2020-12-19,WY,129
2020-12-18,AK,487
2020-12-18,AL,5348
2020-12-18,AR,2878
2020-12-18,AS,0
2020-12-18,AZ,7635
2020-12-18,CA,41012
2020-12-18,CO,3693
2020-12-18,CT,2680
2020-12-18,DC,274
2020-12-18,DE,341
2020-12-18,FL,12827
2020-12-18,GA,6092
2020-12-18,GU,10
2020-12-18,HI,162
2020-12-18,IA,1524
2020-12-18,ID,1426
2020-12-18,IL,7377
2020-12-18,IN,5949
2020-12-18,KS,5857
2020-12-18,KY,3169
2020-12-18,LA,3113
2020-12-18,MA,5679
2020-12-18,MD,2569
2020-12-18,ME,436
2020-12-18,MI,4519
2020-12-18,MN,2718
2020-12-18,MO,3723
2020-12-18,MP,2
2020-12-18,MS,2507
2020-12-18,MT,509
2020-12-18,NC,8444
2020-12-18,ND,494
2020-12-18,NE,1297
2020-12-18,NH,696
2020-12-18,NJ,3896
2020-12-18,NM,1455
2020-12-18,NV,2878
2020-12-18,NY,12697
2020-12-18,OH,9684
2020-12-18,OK,3556
2020-12-18,OR,1372
2020-12-18,PA,9320
2020-12-18,PR,1381
2020-12-18,RI,522
2020-12-18,SC,4302
2020-12-18,SD,575
2020-12-18,TN,10421
2020-12-18,TX,16792
2020-12-18,UT,2644
2020-12-18,VA,3295
2020-12-18,VI,22
2020-12-18,VT,94
2020-12-18,WA,2940
2020-12-18,WI,3921
2020-12-18,WV,1266
2020-12-18,WY,766
2020-12-17,AK,377
2020-12-17,AL,4695
2020-12-17,AR,3039
2020-12-17,AS,0
2020-12-17,AZ,5817
2020-12-17,CA,52281
2020-12-17,CO,3698
2020-12-17,CT,2321
2020-12-17,DC,228
2020-12-17,DE,839
2020-12-17,FL,13102
2020-12-17,GA,5835
2020-12-17,GU,15
2020-12-17,HI,141
2020-12-17,IA,1415
2020-12-17,ID,1433
2020-12-17,IL,8828
2020-12-17,IN,6340
2020-12-17,KS,0
2020-12-17,KY,3328
2020-12-17,LA,3776
2020-12-17,MA,5135
2020-12-17,MD,2217
2020-12-17,ME,590
2020-12-17,MI,4541
2020-12-17,MN,2759
2020-12-17,MO,3569
2020-12-17,MP,0
2020-12-17,MS,2261
2020-12-17,MT,839
2020-12-17,NC,5786
2020-12-17,ND,377
2020-12-17,NE,1242
2020-12-17,NH,831
2020-12-17,NJ,4255
2020-12-17,NM,1688
2020-12-17,NV,2281
2020-12-17,NY,10914
2020-12-17,OH,11412
2020-12-17,OK,2975
2020-12-17,OR,1314
2020-12-17,PA,9966
2020-12-17,PR,1065
2020-12-17,RI,1081
2020-12-17,SC,2655
2020-12-17,SD,594
2020-12-17,TN,8945
2020-12-17,TX,19849
2020-12-17,UT,3203
2020-12-17,VA,3853
2020-12-17,VI,50
2020-12-17,VT,140
2020-12-17,WA,61
2020-12-17,WI,4281
2020-12-17,WV,1636
2020-12-17,WY,283
2020-12-16,AK,603
2020-12-16,AL,4107
2020-12-16,AR,2306
2020-12-16,AS,0
2020-12-16,AZ,4837
2020-12-16,CA,53711
2020-12-16,CO,3334
2020-12-16,CT,2319
2020-12-16,DC,263
2020-12-16,DE,787
2020-12-16,FL,11282
2020-12-16,GA,4186
2020-12-16,GU,19
2020-12-16,HI,110
2020-12-16,IA,1539
2020-12-16,ID,1802
2020-12-16,IL,7123
2020-12-16,IN,6208
2020-12-16,KS,4551
2020-12-16,KY,2875
2020-12-16,LA,3269
2020-12-16,MA,5952
2020-12-16,MD,2405
2020-12-16,ME,551
2020-12-16,MI,4644
2020-12-16,MN,2248
2020-12-16,MO,2673
2020-12-16,MP,0
2020-12-16,MS,2343
2020-12-16,MT,604
2020-12-16,NC,5273
2020-12-16,ND,291
2020-12-16,NE,1517
2020-12-16,NH,888
2020-12-16,NJ,5661
2020-12-16,NM,1800
2020-12-16,NV,2366
2020-12-16,NY,9998
2020-12-16,OH,5409
2020-12-16,OK,3238
2020-12-16,OR,1530
2020-12-16,PA,10049
2020-12-16,PR,267
2020-12-16,RI,972
2020-12-16,SC,2799
2020-12-16,SD,904
2020-12-16,TN,11410
2020-12-16,TX,18802
2020-12-16,UT,2928
2020-12-16,VA,3931
2020-12-16,VI,0
2020-12-16,VT,86
2020-12-16,WA,667
2020-12-16,WI,2822
2020-12-16,WV,1148
2020-12-16,WY,246
2020-12-15,AK,278
2020-12-15,AL,3638
2020-12-15,AR,1691
2020-12-15,AS,0
2020-12-15,AZ,4134
2020-12-15,CA,32326
2020-12-15,CO,2278
2020-12-15,CT,1470
2020-12-15,DC,301
2020-12-15,DE,685
2020-12-15,FL,9296
2020-12-15,GA,4812
2020-12-15,GU,12
2020-12-15,HI,56
2020-12-15,IA,726
2020-12-15,ID,1038
2020-12-15,IL,7359
2020-12-15,IN,4241
2020-12-15,KS,0
2020-12-15,KY,2928
2020-12-15,LA,2633
2020-12-15,MA,3929
2020-12-15,MD,2401
2020-12-15,ME,411
2020-12-15,MI,5391
2020-12-15,MN,2323
2020-12-15,MO,2762
2020-12-15,MP,0
2020-12-15,MS,2205
2020-12-15,MT,737
2020-12-15,NC,5236
2020-12-15,ND,328
2020-12-15,NE,483
2020-12-15,NH,670
2020-12-15,NJ,3966
2020-12-15,NM,1258
2020-12-15,NV,2320
2020-12-15,NY,10353
2020-12-15,OH,8755
2020-12-15,OK,2224
2020-12-15,OR,1082
2020-12-15,PA,9556
2020-12-15,PR,434
2020-12-15,RI,1166
2020-12-15,SC,2544
2020-12-15,SD,345
2020-12-15,TN,8611
2020-12-15,TX,18926
2020-12-15,UT,1915
2020-12-15,VA,3160
2020-12-15,VI,21
2020-12-15,VT,66
2020-12-15,WA,652
2020-12-15,WI,4055
2020-12-15,WV,1307
2020-12-15,WY,289
2020-12-14,AK,422
2020-12-14,AL,2264
2020-12-14,AR,1805
2020-12-14,AS,0
2020-12-14,AZ,11806
2020-12-14,CA,33278
2020-12-14,CO,2911
2020-12-14,CT,7231
2020-12-14,DC,164
2020-12-14,DE,997
2020-12-14,FL,8343
2020-12-14,GA,3296
2020-12-14,GU,31
2020-12-14,HI,189
2020-12-14,IA,637
2020-12-14,ID,547
2020-12-14,IL,7214
2020-12-14,IN,4967
2020-12-14,KS,4724
2020-12-14,KY,1786
2020-12-14,LA,1030
2020-12-14,MA,3653
2020-12-14,MD,2314
2020-12-14,ME,426
2020-12-14,MI,7621
2020-12-14,MN,3018
2020-12-14,MO,2562
2020-12-14,MP,0
2020-12-14,MS,1648
2020-12-14,MT,0
2020-12-14,NC,4770
2020-12-14,ND,196
2020-12-14,NE,1173
2020-12-14,NH,919
2020-12-14,NJ,4798
2020-12-14,NM,1499
2020-12-14,NV,2579
2020-12-14,NY,9044
2020-12-14,OH,7875
2020-12-14,OK,2099
2020-12-14,OR,1157
2020-12-14,PA,7962
2020-12-14,PR,554
2020-12-14,RI,552
2020-12-14,SC,2570
2020-12-14,SD,316
2020-12-14,TN,9959
2020-12-14,TX,8901
2020-12-14,UT,1968
2020-12-14,VA,3240
2020-12-14,VI,16
2020-12-14,VT,104
2020-12-14,WA,1410
2020-12-14,WI,2329
2020-12-14,WV,1177
2020-12-14,WY,415
2020-12-13,AK,637
2020-12-13,AL,2790
2020-12-13,AR,1450
2020-12-13,AS,0
2020-12-13,AZ,5853
2020-12-13,CA,30334
2020-12-13,CO,2559
2020-12-13,CT,0
2020-12-13,DC,231
2020-12-13,DE,584
2020-12-13,FL,8762
2020-12-13,GA,4310
2020-12-13,GU,16
2020-12-13,HI,87
2020-12-13,IA,989
2020-12-13,ID,1022
2020-12-13,IL,7216
2020-12-13,IN,5898
2020-12-13,KS,0
2020-12-13,KY,2444
2020-12-13,LA,4422
2020-12-13,MA,4853
2020-12-13,MD,2638
2020-12-13,ME,303
2020-12-13,MI,0
2020-12-13,MN,3425
2020-12-13,MO,2694
2020-12-13,MP,0
2020-12-13,MS,1500
2020-12-13,MT,659
2020-12-13,NC,6819
2020-12-13,ND,281
2020-12-13,NE,811
2020-12-13,NH,712
2020-12-13,NJ,4154
2020-12-13,NM,1442
2020-12-13,NV,2882
2020-12-13,NY,10194
2020-12-13,OH,9266
2020-12-13,OK,4332
2020-12-13,OR,1014
2020-12-13,PA,10684
2020-12-13,PR,708
2020-12-13,RI,870
2020-12-13,SC,3408
2020-12-13,SD,631
2020-12-13,TN,11352
2020-12-13,TX,8349
2020-12-13,UT,2083
2020-12-13,VA,3294
2020-12-13,VI,0
2020-12-13,VT,127
2020-12-13,WA,2228
2020-12-13,WI,2965
2020-12-13,WV,1066
2020-12-13,WY,453
2020-12-12,AK,517
2020-12-12,AL,4066
2020-12-12,AR,2628
2020-12-12,AS,0
2020-12-12,AZ,8077
2020-12-12,CA,35729
2020-12-12,CO,3961
2020-12-12,CT,0
2020-12-12,DC,286
2020-12-12,DE,1058
2020-12-12,FL,10385
2020-12-12,GA,4830
2020-12-12,GU,11
2020-12-12,HI,197
2020-12-12,IA,1245
2020-12-12,ID,1582
2020-12-12,IL,8737
2020-12-12,IN,7401
2020-12-12,KS,0
2020-12-12,KY,3540
2020-12-12,LA,0
2020-12-12,MA,5289
2020-12-12,MD,3538
2020-12-12,ME,414
2020-12-12,MI,4813
2020-12-12,MN,4430
2020-12-12,MO,3743
2020-12-12,MP,0
2020-12-12,MS,2665
2020-12-12,MT,774
2020-12-12,NC,6153
2020-12-12,ND,376
2020-12-12,NE,1103
2020-12-12,NH,784
2020-12-12,NJ,6240
2020-12-12,NM,1793
2020-12-12,NV,2641
2020-12-12,NY,11129
2020-12-12,OH,11252
2020-12-12,OK,3983
2020-12-12,OR,1419
